time_iso8601,stars_cumulative
2024-10-10 00:00:00+00:00,1
2024-10-19 00:00:00+00:00,2
2025-02-25 00:00:00+00:00,4
2025-02-26 00:00:00+00:00,5
2025-03-05 00:00:00+00:00,6
2025-03-11 00:00:00+00:00,7
2025-03-14 00:00:00+00:00,8
2025-03-15 00:00:00+00:00,9
2025-03-20 00:00:00+00:00,10
2025-03-29 00:00:00+00:00,15
2025-03-30 00:00:00+00:00,16
2025-03-31 00:00:00+00:00,17
2025-04-01 00:00:00+00:00,18
2025-04-04 00:00:00+00:00,19
2025-04-08 00:00:00+00:00,20
2025-04-18 00:00:00+00:00,21
2025-04-27 00:00:00+00:00,23
2025-04-28 00:00:00+00:00,24
2025-04-30 00:00:00+00:00,25
2025-05-02 00:00:00+00:00,26
2025-05-09 00:00:00+00:00,27
2025-05-11 00:00:00+00:00,28
2025-05-13 00:00:00+00:00,29
2025-05-21 00:00:00+00:00,30
2025-05-22 00:00:00+00:00,32
2025-05-24 00:00:00+00:00,33
2025-05-26 00:00:00+00:00,34
2025-06-03 00:00:00+00:00,35
2025-06-05 00:00:00+00:00,36
2025-06-08 00:00:00+00:00,37
2025-06-12 00:00:00+00:00,38
2025-06-18 00:00:00+00:00,39
2025-07-03 00:00:00+00:00,43
2025-07-05 00:00:00+00:00,44
2025-07-10 00:00:00+00:00,45
2025-07-16 00:00:00+00:00,46
2025-07-19 00:00:00+00:00,47
2025-08-17 00:00:00+00:00,48
2025-08-18 00:00:00+00:00,49
2025-09-16 00:00:00+00:00,50
2025-09-28 00:00:00+00:00,52
2025-09-29 00:00:00+00:00,55
2025-09-30 00:00:00+00:00,56
2025-10-01 00:00:00+00:00,57
2025-10-04 00:00:00+00:00,58
2025-10-07 00:00:00+00:00,60
2025-10-09 00:00:00+00:00,61
2025-10-10 00:00:00+00:00,62
2025-10-17 00:00:00+00:00,64
2025-10-18 00:00:00+00:00,67
2025-10-21 00:00:00+00:00,69
2025-10-22 00:00:00+00:00,71
2025-10-23 00:00:00+00:00,73
2025-10-24 00:00:00+00:00,74
2025-10-25 00:00:00+00:00,75
2025-10-26 00:00:00+00:00,76
2025-10-27 00:00:00+00:00,77
2025-10-28 00:00:00+00:00,78
2025-11-06 00:00:00+00:00,79
2025-11-07 00:00:00+00:00,80
2025-11-10 00:00:00+00:00,81
2025-11-28 00:00:00+00:00,82
2025-12-04 00:00:00+00:00,83
2025-12-11 00:00:00+00:00,84
2026-01-06 00:00:00+00:00,86
