time_iso8601,stars_cumulative
2024-10-10 00:00:00+00:00,1
2024-10-19 00:00:00+00:00,2
2025-02-25 00:00:00+00:00,5
2025-02-26 00:00:00+00:00,6
2025-03-05 00:00:00+00:00,7
2025-03-11 00:00:00+00:00,8
2025-03-14 00:00:00+00:00,9
2025-03-15 00:00:00+00:00,10
2025-03-20 00:00:00+00:00,11
2025-03-22 00:00:00+00:00,12
2025-03-29 00:00:00+00:00,17
2025-03-30 00:00:00+00:00,18
2025-03-31 00:00:00+00:00,19
2025-04-01 00:00:00+00:00,20
2025-04-04 00:00:00+00:00,21
2025-04-08 00:00:00+00:00,22
2025-04-18 00:00:00+00:00,23
2025-04-27 00:00:00+00:00,25
2025-04-28 00:00:00+00:00,26
2025-04-30 00:00:00+00:00,27
2025-05-02 00:00:00+00:00,28
2025-05-03 00:00:00+00:00,29
2025-05-09 00:00:00+00:00,30
2025-05-11 00:00:00+00:00,31
2025-05-13 00:00:00+00:00,32
2025-05-21 00:00:00+00:00,33
2025-05-22 00:00:00+00:00,35
2025-05-24 00:00:00+00:00,36
2025-05-26 00:00:00+00:00,37
2025-06-03 00:00:00+00:00,38
2025-06-05 00:00:00+00:00,39
2025-06-08 00:00:00+00:00,40
2025-06-12 00:00:00+00:00,41
2025-06-18 00:00:00+00:00,42
2025-06-19 00:00:00+00:00,43
